"Menor 1 ano","1 a 4 anos","5 a 14 anos","60 anos e mais","15 a 59 anos"
2732807.14923582,11112450.8507642,30469766,29290662,138471689
2732807.14923582,11112450.8507642,30469766,29290662,138471689
2732807.14923582,11112450.8507642,30469766,29290662,138471689
2732807.14923582,11112450.8507642,30469766,29290662,138471689
2732807.14923582,11112450.8507642,30469766,29290662,138471689
2732807.14923582,11112450.8507642,30469766,29290662,138471689
2732807.14923582,11112450.8507642,30469766,29290662,138471689
2732807.14923582,11112450.8507642,30469766,29290662,138471689
2732807.14923582,11112450.8507642,30469766,29290662,138471689
2732807.14923582,11112450.8507642,30469766,29290662,138471689
2732807.14923582,11112450.8507642,30469766,29290662,138471689
2732807.14923582,11112450.8507642,30469766,29290662,138471689
2701084.47807984,10983456.5219202,30052313,30474291,139229313
2701084.47807984,10983456.5219202,30052313,30474291,139229313
2701084.47807984,10983456.5219202,30052313,30474291,139229313
2701084.47807984,10983456.5219202,30052313,30474291,139229313
2701084.47807984,10983456.5219202,30052313,30474291,139229313
2701084.47807984,10983456.5219202,30052313,30474291,139229313
2701084.47807984,10983456.5219202,30052313,30474291,139229313
2701084.47807984,10983456.5219202,30052313,30474291,139229313
2701084.47807984,10983456.5219202,30052313,30474291,139229313
2701084.47807984,10983456.5219202,30052313,30474291,139229313
2701084.47807984,10983456.5219202,30052313,30474291,139229313
2701084.47807984,10983456.5219202,30052313,30474291,139229313
2670308.84660358,10858313.1533964,29647190,31693761,139877936
2670308.84660358,10858313.1533964,29647190,31693761,139877936
2670308.84660358,10858313.1533964,29647190,31693761,139877936
2670308.84660358,10858313.1533964,29647190,31693761,139877936
2670308.84660358,10858313.1533964,29647190,31693761,139877936
2670308.84660358,10858313.1533964,29647190,31693761,139877936
2670308.84660358,10858313.1533964,29647190,31693761,139877936
2670308.84660358,10858313.1533964,29647190,31693761,139877936
2670308.84660358,10858313.1533964,29647190,31693761,139877936
2670308.84660358,10858313.1533964,29647190,31693761,139877936
2670308.84660358,10858313.1533964,29647190,31693761,139877936
2670308.84660358,10858313.1533964,29647190,31693761,139877936
